CHAVE,COD_AFIRMACAO,AFIRMACAO,ARQUETIPO,QTD_ESTRELAS,VALOR_ESCALA,PESO,PONTOS_OBTIDOS,PONTOS_MAXIMOS,PERCETUAL
Resoluto3Q10,Q10,10. Meu líder não se preocupa com o tempo de execução de uma solicitação sua.,Resoluto,3,25.0,1.0,25.0,50.0,0.5
Cuidativo3Q10,Q10,10. Meu líder não se preocupa com o tempo de execução de uma solicitação sua.,Cuidativo,3,12.5,1.0,12.5,100.0,0.125
Consultivo3Q10,Q10,10. Meu líder não se preocupa com o tempo de execução de uma solicitação sua.,Consultivo,3,3.125,1.0,3.125,200.0,0.015625
Prescritivo3Q10,Q10,10. Meu líder não se preocupa com o tempo de execução de uma solicitação sua.,Prescritivo,3,50.0,1.0,50.0,100.0,0.5
Formador3Q10,Q10,10. Meu líder não se preocupa com o tempo de execução de uma solicitação sua.,Formador,3,6.25,1.0,6.25,25.0,0.25
Imperativo4Q10,Q10,10. Meu líder não se preocupa com o tempo de execução de uma solicitação sua.,Imperativo,4,3.125,1.0,3.125,200.0,0.015625
Resoluto4Q10,Q10,10. Meu líder não se preocupa com o tempo de execução de uma solicitação sua.,Resoluto,4,25.0,1.0,25.0,50.0,0.5
Cuidativo4Q10,Q10,10. Meu líder não se preocupa com o tempo de execução de uma solicitação sua.,Cuidativo,4,50.0,1.0,50.0,100.0,0.5
Consultivo4Q10,Q10,10. Meu líder não se preocupa com o tempo de execução de uma solicitação sua.,Consultivo,4,100.0,1.0,100.0,200.0,0.5
Prescritivo4Q10,Q10,10. Meu líder não se preocupa com o tempo de execução de uma solicitação sua.,Prescritivo,4,6.25,1.0,6.25,100.0,0.0625
Formador4Q10,Q10,10. Meu líder não se preocupa com o tempo de execução de uma solicitação sua.,Formador,4,12.5,1.0,12.5,25.0,0.5
Imperativo5Q10,Q10,10. Meu líder não se preocupa com o tempo de execução de uma solicitação sua.,Imperativo,5,3.125,1.5,4.6875,200.0,0.0234375
Resoluto5Q10,Q10,10. Meu líder não se preocupa com o tempo de execução de uma solicitação sua.,Resoluto,5,25.0,1.5,37.5,50.0,0.75
Cuidativo5Q10,Q10,10. Meu líder não se preocupa com o tempo de execução de uma solicitação sua.,Cuidativo,5,50.0,1.5,75.0,100.0,0.75
Consultivo5Q10,Q10,10. Meu líder não se preocupa com o tempo de execução de uma solicitação sua.,Consultivo,5,100.0,1.5,150.0,200.0,0.75
Prescritivo5Q10,Q10,10. Meu líder não se preocupa com o tempo de execução de uma solicitação sua.,Prescritivo,5,6.25,1.5,9.375,100.0,0.09375
Formador5Q10,Q10,10. Meu líder não se preocupa com o tempo de execução de uma solicitação sua.,Formador,5,12.5,1.5,18.75,25.0,0.75
Imperativo6Q10,Q10,10. Meu líder não se preocupa com o tempo de execução de uma solicitação sua.,Imperativo,6,3.125,2.0,6.25,200.0,0.03125
Resoluto6Q10,Q10,10. Meu líder não se preocupa com o tempo de execução de uma solicitação sua.,Resoluto,6,25.0,2.0,50.0,50.0,1.0
Cuidativo6Q10,Q10,10. Meu líder não se preocupa com o tempo de execução de uma solicitação sua.,Cuidativo,6,50.0,2.0,100.0,100.0,1.0
Consultivo6Q10,Q10,10. Meu líder não se preocupa com o tempo de execução de uma solicitação sua.,Consultivo,6,100.0,2.0,200.0,200.0,1.0
Prescritivo6Q10,Q10,10. Meu líder não se preocupa com o tempo de execução de uma solicitação sua.,Prescritivo,6,6.25,2.0,12.5,100.0,0.125
Formador6Q10,Q10,10. Meu líder não se preocupa com o tempo de execução de uma solicitação sua.,Formador,6,12.5,2.0,25.0,25.0,1.0
Imperativo1Q11,Q11,11. Meu líder acredita que os integrantes da sua equipe sabem tanto quanto ele próprio.,Imperativo,1,12.5,2.0,25.0,25.0,1.0
Resoluto1Q11,Q11,11. Meu líder acredita que os integrantes da sua equipe sabem tanto quanto ele próprio.,Resoluto,1,25.0,2.0,50.0,50.0,1.0
Cuidativo1Q11,Q11,11. Meu líder acredita que os integrantes da sua equipe sabem tanto quanto ele próprio.,Cuidativo,1,6.25,2.0,12.5,100.0,0.125
Consultivo1Q11,Q11,11. Meu líder acredita que os integrantes da sua equipe sabem tanto quanto ele próprio.,Consultivo,1,3.125,2.0,6.25,200.0,0.03125
Prescritivo1Q11,Q11,11. Meu líder acredita que os integrantes da sua equipe sabem tanto quanto ele próprio.,Prescritivo,1,100.0,2.0,200.0,200.0,1.0
Formador1Q11,Q11,11. Meu líder acredita que os integrantes da sua equipe sabem tanto quanto ele próprio.,Formador,1,50.0,2.0,100.0,100.0,1.0
Imperativo2Q11,Q11,11. Meu líder acredita que os integrantes da sua equipe sabem tanto quanto ele próprio.,Imperativo,2,12.5,1.5,18.75,25.0,0.75
Resoluto2Q11,Q11,11. Meu líder acredita que os integrantes da sua equipe sabem tanto quanto ele próprio.,Resoluto,2,25.0,1.5,37.5,50.0,0.75
Cuidativo2Q11,Q11,11. Meu líder acredita que os integrantes da sua equipe sabem tanto quanto ele próprio.,Cuidativo,2,6.25,1.5,9.375,100.0,0.09375
Consultivo2Q11,Q11,11. Meu líder acredita que os integrantes da sua equipe sabem tanto quanto ele próprio.,Consultivo,2,3.125,1.5,4.6875,200.0,0.0234375
Prescritivo2Q11,Q11,11. Meu líder acredita que os integrantes da sua equipe sabem tanto quanto ele próprio.,Prescritivo,2,100.0,1.5,150.0,200.0,0.75
Formador2Q11,Q11,11. Meu líder acredita que os integrantes da sua equipe sabem tanto quanto ele próprio.,Formador,2,50.0,1.5,75.0,100.0,0.75
Imperativo3Q11,Q11,11. Meu líder acredita que os integrantes da sua equipe sabem tanto quanto ele próprio.,Imperativo,3,12.5,1.0,12.5,25.0,0.5
Resoluto3Q11,Q11,11. Meu líder acredita que os integrantes da sua equipe sabem tanto quanto ele próprio.,Resoluto,3,25.0,1.0,25.0,50.0,0.5
Cuidativo3Q11,Q11,11. Meu líder acredita que os integrantes da sua equipe sabem tanto quanto ele próprio.,Cuidativo,3,6.25,1.0,6.25,100.0,0.0625
Consultivo3Q11,Q11,11. Meu líder acredita que os integrantes da sua equipe sabem tanto quanto ele próprio.,Consultivo,3,3.125,1.0,3.125,200.0,0.015625
Prescritivo3Q11,Q11,11. Meu líder acredita que os integrantes da sua equipe sabem tanto quanto ele próprio.,Prescritivo,3,100.0,1.0,100.0,200.0,0.5
Formador3Q11,Q11,11. Meu líder acredita que os integrantes da sua equipe sabem tanto quanto ele próprio.,Formador,3,50.0,1.0,50.0,100.0,0.5
Imperativo4Q11,Q11,11. Meu líder acredita que os integrantes da sua equipe sabem tanto quanto ele próprio.,Imperativo,4,6.25,1.0,6.25,25.0,0.25
Resoluto4Q11,Q11,11. Meu líder acredita que os integrantes da sua equipe sabem tanto quanto ele próprio.,Resoluto,4,25.0,1.0,25.0,50.0,0.5
Cuidativo4Q11,Q11,11. Meu líder acredita que os integrantes da sua equipe sabem tanto quanto ele próprio.,Cuidativo,4,50.0,1.0,50.0,100.0,0.5
Consultivo4Q11,Q11,11. Meu líder acredita que os integrantes da sua equipe sabem tanto quanto ele próprio.,Consultivo,4,100.0,1.0,100.0,200.0,0.5
Prescritivo4Q11,Q11,11. Meu líder acredita que os integrantes da sua equipe sabem tanto quanto ele próprio.,Prescritivo,4,3.125,1.0,3.125,200.0,0.015625
Formador4Q11,Q11,11. Meu líder acredita que os integrantes da sua equipe sabem tanto quanto ele próprio.,Formador,4,12.5,1.0,12.5,100.0,0.125
Imperativo5Q11,Q11,11. Meu líder acredita que os integrantes da sua equipe sabem tanto quanto ele próprio.,Imperativo,5,6.25,1.5,9.375,25.0,0.375
Resoluto5Q11,Q11,11. Meu líder acredita que os integrantes da sua equipe sabem tanto quanto ele próprio.,Resoluto,5,25.0,1.5,37.5,50.0,0.75
Cuidativo5Q11,Q11,11. Meu líder acredita que os integrantes da sua equipe sabem tanto quanto ele próprio.,Cuidativo,5,50.0,1.5,75.0,100.0,0.75
Consultivo5Q11,Q11,11. Meu líder acredita que os integrantes da sua equipe sabem tanto quanto ele próprio.,Consultivo,5,100.0,1.5,150.0,200.0,0.75
Prescritivo5Q11,Q11,11. Meu líder acredita que os integrantes da sua equipe sabem tanto quanto ele próprio.,Prescritivo,5,3.125,1.5,4.6875,200.0,0.0234375
Formador5Q11,Q11,11. Meu líder acredita que os integrantes da sua equipe sabem tanto quanto ele próprio.,Formador,5,12.5,1.5,18.75,100.0,0.1875
Imperativo6Q11,Q11,11. Meu líder acredita que os integrantes da sua equipe sabem tanto quanto ele próprio.,Imperativo,6,6.25,2.0,12.5,25.0,0.5
Resoluto6Q11,Q11,11. Meu líder acredita que os integrantes da sua equipe sabem tanto quanto ele próprio.,Resoluto,6,25.0,2.0,50.0,50.0,1.0
Cuidativo6Q11,Q11,11. Meu líder acredita que os integrantes da sua equipe sabem tanto quanto ele próprio.,Cuidativo,6,50.0,2.0,100.0,100.0,1.0
Consultivo6Q11,Q11,11. Meu líder acredita que os integrantes da sua equipe sabem tanto quanto ele próprio.,Consultivo,6,100.0,2.0,200.0,200.0,1.0
Prescritivo6Q11,Q11,11. Meu líder acredita que os integrantes da sua equipe sabem tanto quanto ele próprio.,Prescritivo,6,3.125,2.0,6.25,200.0,0.03125
Formador6Q11,Q11,11. Meu líder acredita que os integrantes da sua equipe sabem tanto quanto ele próprio.,Formador,6,12.5,2.0,25.0,100.0,0.25
Imperativo1Q12,Q12,12. Meu líder se esforça para desenvolver as pessoas.,Imperativo,1,25.0,2.0,50.0,50.0,1.0
Resoluto1Q12,Q12,12. Meu líder se esforça para desenvolver as pessoas.,Resoluto,1,6.25,2.0,12.5,100.0,0.125
Cuidativo1Q12,Q12,12. Meu líder se esforça para desenvolver as pessoas.,Cuidativo,1,12.5,2.0,25.0,50.0,0.5
Consultivo1Q12,Q12,12. Meu líder se esforça para desenvolver as pessoas.,Consultivo,1,100.0,2.0,200.0,200.0,1.0
Prescritivo1Q12,Q12,12. Meu líder se esforça para desenvolver as pessoas.,Prescritivo,1,50.0,2.0,100.0,100.0,1.0
Formador1Q12,Q12,12. Meu líder se esforça para desenvolver as pessoas.,Formador,1,3.125,2.0,6.25,200.0,0.03125
Imperativo2Q12,Q12,12. Meu líder se esforça para desenvolver as pessoas.,Imperativo,2,25.0,1.5,37.5,50.0,0.75
Resoluto2Q12,Q12,12. Meu líder se esforça para desenvolver as pessoas.,Resoluto,2,6.25,1.5,9.375,100.0,0.09375
Cuidativo2Q12,Q12,12. Meu líder se esforça para desenvolver as pessoas.,Cuidativo,2,12.5,1.5,18.75,50.0,0.375
Consultivo2Q12,Q12,12. Meu líder se esforça para desenvolver as pessoas.,Consultivo,2,100.0,1.5,150.0,200.0,0.75
Prescritivo2Q12,Q12,12. Meu líder se esforça para desenvolver as pessoas.,Prescritivo,2,50.0,1.5,75.0,100.0,0.75
Formador2Q12,Q12,12. Meu líder se esforça para desenvolver as pessoas.,Formador,2,3.125,1.5,4.6875,200.0,0.0234375
Imperativo3Q12,Q12,12. Meu líder se esforça para desenvolver as pessoas.,Imperativo,3,25.0,1.0,25.0,50.0,0.5
Resoluto3Q12,Q12,12. Meu líder se esforça para desenvolver as pessoas.,Resoluto,3,6.25,1.0,6.25,100.0,0.0625
Cuidativo3Q12,Q12,12. Meu líder se esforça para desenvolver as pessoas.,Cuidativo,3,12.5,1.0,12.5,50.0,0.25
Consultivo3Q12,Q12,12. Meu líder se esforça para desenvolver as pessoas.,Consultivo,3,100.0,1.0,100.0,200.0,0.5
Prescritivo3Q12,Q12,12. Meu líder se esforça para desenvolver as pessoas.,Prescritivo,3,50.0,1.0,50.0,100.0,0.5
Formador3Q12,Q12,12. Meu líder se esforça para desenvolver as pessoas.,Formador,3,3.125,1.0,3.125,200.0,0.015625
Imperativo4Q12,Q12,12. Meu líder se esforça para desenvolver as pessoas.,Imperativo,4,6.25,1.0,6.25,50.0,0.125
Resoluto4Q12,Q12,12. Meu líder se esforça para desenvolver as pessoas.,Resoluto,4,50.0,1.0,50.0,100.0,0.5
Cuidativo4Q12,Q12,12. Meu líder se esforça para desenvolver as pessoas.,Cuidativo,4,25.0,1.0,25.0,50.0,0.5
Consultivo4Q12,Q12,12. Meu líder se esforça para desenvolver as pessoas.,Consultivo,4,12.5,1.0,12.5,200.0,0.0625
Prescritivo4Q12,Q12,12. Meu líder se esforça para desenvolver as pessoas.,Prescritivo,4,3.125,1.0,3.125,100.0,0.03125
Formador4Q12,Q12,12. Meu líder se esforça para desenvolver as pessoas.,Formador,4,100.0,1.0,100.0,200.0,0.5
Imperativo5Q12,Q12,12. Meu líder se esforça para desenvolver as pessoas.,Imperativo,5,6.25,1.5,9.375,50.0,0.1875
Resoluto5Q12,Q12,12. Meu líder se esforça para desenvolver as pessoas.,Resoluto,5,50.0,1.5,75.0,100.0,0.75
Cuidativo5Q12,Q12,12. Meu líder se esforça para desenvolver as pessoas.,Cuidativo,5,25.0,1.5,37.5,50.0,0.75
Consultivo5Q12,Q12,12. Meu líder se esforça para desenvolver as pessoas.,Consultivo,5,12.5,1.5,18.75,200.0,0.09375
Prescritivo5Q12,Q12,12. Meu líder se esforça para desenvolver as pessoas.,Prescritivo,5,3.125,1.5,4.6875,100.0,0.046875
Formador5Q12,Q12,12. Meu líder se esforça para desenvolver as pessoas.,Formador,5,100.0,1.5,150.0,200.0,0.75
Imperativo6Q12,Q12,12. Meu líder se esforça para desenvolver as pessoas.,Imperativo,6,6.25,2.0,12.5,50.0,0.25
Resoluto6Q12,Q12,12. Meu líder se esforça para desenvolver as pessoas.,Resoluto,6,50.0,2.0,100.0,100.0,1.0
Cuidativo6Q12,Q12,12. Meu líder se esforça para desenvolver as pessoas.,Cuidativo,6,25.0,2.0,50.0,50.0,1.0
Consultivo6Q12,Q12,12. Meu líder se esforça para desenvolver as pessoas.,Consultivo,6,12.5,2.0,25.0,200.0,0.125
Prescritivo6Q12,Q12,12. Meu líder se esforça para desenvolver as pessoas.,Prescritivo,6,3.125,2.0,6.25,100.0,0.0625
Formador6Q12,Q12,12. Meu líder se esforça para desenvolver as pessoas.,Formador,6,100.0,2.0,200.0,200.0,1.0
Imperativo1Q13,Q13,13. Meu líder está sempre atento em reparar se as pessoas estão bem pessoalmente.,Imperativo,1,100.0,2.0,200.0,200.0,1.0
Resoluto1Q13,Q13,13. Meu líder está sempre atento em reparar se as pessoas estão bem pessoalmente.,Resoluto,1,6.25,2.0,12.5,100.0,0.125
Cuidativo1Q13,Q13,13. Meu líder está sempre atento em reparar se as pessoas estão bem pessoalmente.,Cuidativo,1,3.125,2.0,6.25,200.0,0.03125
Consultivo1Q13,Q13,13. Meu líder está sempre atento em reparar se as pessoas estão bem pessoalmente.,Consultivo,1,12.5,2.0,25.0,25.0,1.0
Prescritivo1Q13,Q13,13. Meu líder está sempre atento em reparar se as pessoas estão bem pessoalmente.,Prescritivo,1,50.0,2.0,100.0,100.0,1.0
Formador1Q13,Q13,13. Meu líder está sempre atento em reparar se as pessoas estão bem pessoalmente.,Formador,1,25.0,2.0,50.0,50.0,1.0
Imperativo2Q13,Q13,13. Meu líder está sempre atento em reparar se as pessoas estão bem pessoalmente.,Imperativo,2,100.0,1.5,150.0,200.0,0.75
Resoluto2Q13,Q13,13. Meu líder está sempre atento em reparar se as pessoas estão bem pessoalmente.,Resoluto,2,6.25,1.5,9.375,100.0,0.09375
Cuidativo2Q13,Q13,13. Meu líder está sempre atento em reparar se as pessoas estão bem pessoalmente.,Cuidativo,2,3.125,1.5,4.6875,200.0,0.0234375
Consultivo2Q13,Q13,13. Meu líder está sempre atento em reparar se as pessoas estão bem pessoalmente.,Consultivo,2,12.5,1.5,18.75,25.0,0.75
Prescritivo2Q13,Q13,13. Meu líder está sempre atento em reparar se as pessoas estão bem pessoalmente.,Prescritivo,2,50.0,1.5,75.0,100.0,0.75
Formador2Q13,Q13,13. Meu líder está sempre atento em reparar se as pessoas estão bem pessoalmente.,Formador,2,25.0,1.5,37.5,50.0,0.75
Imperativo3Q13,Q13,13. Meu líder está sempre atento em reparar se as pessoas estão bem pessoalmente.,Imperativo,3,100.0,1.0,100.0,200.0,0.5
Resoluto3Q13,Q13,13. Meu líder está sempre atento em reparar se as pessoas estão bem pessoalmente.,Resoluto,3,6.25,1.0,6.25,100.0,0.0625
Cuidativo3Q13,Q13,13. Meu líder está sempre atento em reparar se as pessoas estão bem pessoalmente.,Cuidativo,3,3.125,1.0,3.125,200.0,0.015625
Consultivo3Q13,Q13,13. Meu líder está sempre atento em reparar se as pessoas estão bem pessoalmente.,Consultivo,3,12.5,1.0,12.5,25.0,0.5
Prescritivo3Q13,Q13,13. Meu líder está sempre atento em reparar se as pessoas estão bem pessoalmente.,Prescritivo,3,50.0,1.0,50.0,100.0,0.5
Formador3Q13,Q13,13. Meu líder está sempre atento em reparar se as pessoas estão bem pessoalmente.,Formador,3,25.0,1.0,25.0,50.0,0.5
Imperativo4Q13,Q13,13. Meu líder está sempre atento em reparar se as pessoas estão bem pessoalmente.,Imperativo,4,3.125,1.0,3.125,200.0,0.015625
Resoluto4Q13,Q13,13. Meu líder está sempre atento em reparar se as pessoas estão bem pessoalmente.,Resoluto,4,50.0,1.0,50.0,100.0,0.5
Cuidativo4Q13,Q13,13. Meu líder está sempre atento em reparar se as pessoas estão bem pessoalmente.,Cuidativo,4,100.0,1.0,100.0,200.0,0.5
Consultivo4Q13,Q13,13. Meu líder está sempre atento em reparar se as pessoas estão bem pessoalmente.,Consultivo,4,12.5,1.0,12.5,25.0,0.5
Prescritivo4Q13,Q13,13. Meu líder está sempre atento em reparar se as pessoas estão bem pessoalmente.,Prescritivo,4,6.25,1.0,6.25,100.0,0.0625
Formador4Q13,Q13,13. Meu líder está sempre atento em reparar se as pessoas estão bem pessoalmente.,Formador,4,25.0,1.0,25.0,50.0,0.5
Imperativo5Q13,Q13,13. Meu líder está sempre atento em reparar se as pessoas estão bem pessoalmente.,Imperativo,5,3.125,1.5,4.6875,200.0,0.0234375
Resoluto5Q13,Q13,13. Meu líder está sempre atento em reparar se as pessoas estão bem pessoalmente.,Resoluto,5,50.0,1.5,75.0,100.0,0.75
Cuidativo5Q13,Q13,13. Meu líder está sempre atento em reparar se as pessoas estão bem pessoalmente.,Cuidativo,5,100.0,1.5,150.0,200.0,0.75
Consultivo5Q13,Q13,13. Meu líder está sempre atento em reparar se as pessoas estão bem pessoalmente.,Consultivo,5,12.5,1.5,18.75,25.0,0.75
Prescritivo5Q13,Q13,13. Meu líder está sempre atento em reparar se as pessoas estão bem pessoalmente.,Prescritivo,5,6.25,1.5,9.375,100.0,0.09375
Formador5Q13,Q13,13. Meu líder está sempre atento em reparar se as pessoas estão bem pessoalmente.,Formador,5,25.0,1.5,37.5,50.0,0.75
Imperativo6Q13,Q13,13. Meu líder está sempre atento em reparar se as pessoas estão bem pessoalmente.,Imperativo,6,3.125,2.0,6.25,200.0,0.03125
Resoluto6Q13,Q13,13. Meu líder está sempre atento em reparar se as pessoas estão bem pessoalmente.,Resoluto,6,50.0,2.0,100.0,100.0,1.0
Cuidativo6Q13,Q13,13. Meu líder está sempre atento em reparar se as pessoas estão bem pessoalmente.,Cuidativo,6,100.0,2.0,200.0,200.0,1.0
Consultivo6Q13,Q13,13. Meu líder está sempre atento em reparar se as pessoas estão bem pessoalmente.,Consultivo,6,12.5,2.0,25.0,25.0,1.0
Prescritivo6Q13,Q13,13. Meu líder está sempre atento em reparar se as pessoas estão bem pessoalmente.,Prescritivo,6,6.25,2.0,12.5,100.0,0.125
Formador6Q13,Q13,13. Meu líder está sempre atento em reparar se as pessoas estão bem pessoalmente.,Formador,6,25.0,2.0,50.0,50.0,1.0
Imperativo1Q14,Q14,14. Meu líder não tem necessidade de se aprofundar nos detalhes de realização de um trabalho.,Imperativo,1,50.0,2.0,100.0,100.0,1.0
Resoluto1Q14,Q14,14. Meu líder não tem necessidade de se aprofundar nos detalhes de realização de um trabalho.,Resoluto,1,25.0,2.0,50.0,50.0,1.0
Cuidativo1Q14,Q14,14. Meu líder não tem necessidade de se aprofundar nos detalhes de realização de um trabalho.,Cuidativo,1,12.5,2.0,25.0,25.0,1.0
Consultivo1Q14,Q14,14. Meu líder não tem necessidade de se aprofundar nos detalhes de realização de um trabalho.,Consultivo,1,3.125,2.0,6.25,200.0,0.03125
Prescritivo1Q14,Q14,14. Meu líder não tem necessidade de se aprofundar nos detalhes de realização de um trabalho.,Prescritivo,1,100.0,2.0,200.0,200.0,1.0
Formador1Q14,Q14,14. Meu líder não tem necessidade de se aprofundar nos detalhes de realização de um trabalho.,Formador,1,6.25,2.0,12.5,100.0,0.125
Imperativo2Q14,Q14,14. Meu líder não tem necessidade de se aprofundar nos detalhes de realização de um trabalho.,Imperativo,2,50.0,1.5,75.0,100.0,0.75
Resoluto2Q14,Q14,14. Meu líder não tem necessidade de se aprofundar nos detalhes de realização de um trabalho.,Resoluto,2,25.0,1.5,37.5,50.0,0.75
Cuidativo2Q14,Q14,14. Meu líder não tem necessidade de se aprofundar nos detalhes de realização de um trabalho.,Cuidativo,2,12.5,1.5,18.75,25.0,0.75
Consultivo2Q14,Q14,14. Meu líder não tem necessidade de se aprofundar nos detalhes de realização de um trabalho.,Consultivo,2,3.125,1.5,4.6875,200.0,0.0234375
Prescritivo2Q14,Q14,14. Meu líder não tem necessidade de se aprofundar nos detalhes de realização de um trabalho.,Prescritivo,2,100.0,1.5,150.0,200.0,0.75
Formador2Q14,Q14,14. Meu líder não tem necessidade de se aprofundar nos detalhes de realização de um trabalho.,Formador,2,6.25,1.5,9.375,100.0,0.09375
Imperativo3Q14,Q14,14. Meu líder não tem necessidade de se aprofundar nos detalhes de realização de um trabalho.,Imperativo,3,50.0,1.0,50.0,100.0,0.5
Resoluto3Q14,Q14,14. Meu líder não tem necessidade de se aprofundar nos detalhes de realização de um trabalho.,Resoluto,3,25.0,1.0,25.0,50.0,0.5
Cuidativo3Q14,Q14,14. Meu líder não tem necessidade de se aprofundar nos detalhes de realização de um trabalho.,Cuidativo,3,12.5,1.0,12.5,25.0,0.5
Consultivo3Q14,Q14,14. Meu líder não tem necessidade de se aprofundar nos detalhes de realização de um trabalho.,Consultivo,3,3.125,1.0,3.125,200.0,0.015625
Prescritivo3Q14,Q14,14. Meu líder não tem necessidade de se aprofundar nos detalhes de realização de um trabalho.,Prescritivo,3,100.0,1.0,100.0,200.0,0.5
Formador3Q14,Q14,14. Meu líder não tem necessidade de se aprofundar nos detalhes de realização de um trabalho.,Formador,3,6.25,1.0,6.25,100.0,0.0625
Imperativo4Q14,Q14,14. Meu líder não tem necessidade de se aprofundar nos detalhes de realização de um trabalho.,Imperativo,4,6.25,1.0,6.25,100.0,0.0625
Resoluto4Q14,Q14,14. Meu líder não tem necessidade de se aprofundar nos detalhes de realização de um trabalho.,Resoluto,4,25.0,1.0,25.0,50.0,0.5
Cuidativo4Q14,Q14,14. Meu líder não tem necessidade de se aprofundar nos detalhes de realização de um trabalho.,Cuidativo,4,12.5,1.0,12.5,25.0,0.5
Consultivo4Q14,Q14,14. Meu líder não tem necessidade de se aprofundar nos detalhes de realização de um trabalho.,Consultivo,4,100.0,1.0,100.0,200.0,0.5
Prescritivo4Q14,Q14,14. Meu líder não tem necessidade de se aprofundar nos detalhes de realização de um trabalho.,Prescritivo,4,3.125,1.0,3.125,200.0,0.015625
Formador4Q14,Q14,14. Meu líder não tem necessidade de se aprofundar nos detalhes de realização de um trabalho.,Formador,4,50.0,1.0,50.0,100.0,0.5
Imperativo5Q14,Q14,14. Meu líder não tem necessidade de se aprofundar nos detalhes de realização de um trabalho.,Imperativo,5,6.25,1.5,9.375,100.0,0.09375
Resoluto5Q14,Q14,14. Meu líder não tem necessidade de se aprofundar nos detalhes de realização de um trabalho.,Resoluto,5,25.0,1.5,37.5,50.0,0.75
Cuidativo5Q14,Q14,14. Meu líder não tem necessidade de se aprofundar nos detalhes de realização de um trabalho.,Cuidativo,5,12.5,1.5,18.75,25.0,0.75
Consultivo5Q14,Q14,14. Meu líder não tem necessidade de se aprofundar nos detalhes de realização de um trabalho.,Consultivo,5,100.0,1.5,150.0,200.0,0.75
Prescritivo5Q14,Q14,14. Meu líder não tem necessidade de se aprofundar nos detalhes de realização de um trabalho.,Prescritivo,5,3.125,1.5,4.6875,200.0,0.0234375
Formador5Q14,Q14,14. Meu líder não tem necessidade de se aprofundar nos detalhes de realização de um trabalho.,Formador,5,50.0,1.5,75.0,100.0,0.75
Imperativo6Q14,Q14,14. Meu líder não tem necessidade de se aprofundar nos detalhes de realização de um trabalho.,Imperativo,6,6.25,2.0,12.5,100.0,0.125
Resoluto6Q14,Q14,14. Meu líder não tem necessidade de se aprofundar nos detalhes de realização de um trabalho.,Resoluto,6,25.0,2.0,50.0,50.0,1.0
Cuidativo6Q14,Q14,14. Meu líder não tem necessidade de se aprofundar nos detalhes de realização de um trabalho.,Cuidativo,6,12.5,2.0,25.0,25.0,1.0
Consultivo6Q14,Q14,14. Meu líder não tem necessidade de se aprofundar nos detalhes de realização de um trabalho.,Consultivo,6,100.0,2.0,200.0,200.0,1.0
Prescritivo6Q14,Q14,14. Meu líder não tem necessidade de se aprofundar nos detalhes de realização de um trabalho.,Prescritivo,6,3.125,2.0,6.25,200.0,0.03125
Formador6Q14,Q14,14. Meu líder não tem necessidade de se aprofundar nos detalhes de realização de um trabalho.,Formador,6,50.0,2.0,100.0,100.0,1.0
Imperativo1Q15,Q15,"15. Quando o desempenho de um integrante da sua equipe começa a não atender às expectativas, meu líder dedica o tempo necessário para ajudar a resolver a questão.",Imperativo,1,25.0,2.0,50.0,50.0,1.0
Resoluto1Q15,Q15,"15. Quando o desempenho de um integrante da sua equipe começa a não atender às expectativas, meu líder dedica o tempo necessário para ajudar a resolver a questão.",Resoluto,1,12.5,2.0,25.0,200.0,0.125
Cuidativo1Q15,Q15,"15. Quando o desempenho de um integrante da sua equipe começa a não atender às expectativas, meu líder dedica o tempo necessário para ajudar a resolver a questão.",Cuidativo,1,50.0,2.0,100.0,100.0,1.0
Consultivo1Q15,Q15,"15. Quando o desempenho de um integrante da sua equipe começa a não atender às expectativas, meu líder dedica o tempo necessário para ajudar a resolver a questão.",Consultivo,1,6.25,2.0,12.5,25.0,0.5
Prescritivo1Q15,Q15,"15. Quando o desempenho de um integrante da sua equipe começa a não atender às expectativas, meu líder dedica o tempo necessário para ajudar a resolver a questão.",Prescritivo,1,100.0,2.0,200.0,200.0,1.0
Formador1Q15,Q15,"15. Quando o desempenho de um integrante da sua equipe começa a não atender às expectativas, meu líder dedica o tempo necessário para ajudar a resolver a questão.",Formador,1,3.125,2.0,6.25,100.0,0.0625
Imperativo2Q15,Q15,"15. Quando o desempenho de um integrante da sua equipe começa a não atender às expectativas, meu líder dedica o tempo necessário para ajudar a resolver a questão.",Imperativo,2,25.0,1.5,37.5,50.0,0.75
Resoluto2Q15,Q15,"15. Quando o desempenho de um integrante da sua equipe começa a não atender às expectativas, meu líder dedica o tempo necessário para ajudar a resolver a questão.",Resoluto,2,12.5,1.5,18.75,200.0,0.09375
Cuidativo2Q15,Q15,"15. Quando o desempenho de um integrante da sua equipe começa a não atender às expectativas, meu líder dedica o tempo necessário para ajudar a resolver a questão.",Cuidativo,2,50.0,1.5,75.0,100.0,0.75
Consultivo2Q15,Q15,"15. Quando o desempenho de um integrante da sua equipe começa a não atender às expectativas, meu líder dedica o tempo necessário para ajudar a resolver a questão.",Consultivo,2,6.25,1.5,9.375,25.0,0.375
Prescritivo2Q15,Q15,"15. Quando o desempenho de um integrante da sua equipe começa a não atender às expectativas, meu líder dedica o tempo necessário para ajudar a resolver a questão.",Prescritivo,2,100.0,1.5,150.0,200.0,0.75
